list_id,host_id,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26559,112793,7,12,12/11/17,0.13,1,164
26785,42273,30,467,12/30/18,4.22,2,192
26933,72062,2,7,8/9/17,0.06,4,298
26954,115157,5,38,12/2/15,0.38,1,260
26969,115307,3,324,6/23/19,3.01,1,107
27006,115560,6,27,4/27/19,0.27,1,199
27385,72062,1,115,6/7/19,1.05,4,299
27531,118971,2,354,5/20/19,3.2,3,20
27644,119510,2,195,7/1/19,2.03,1,318
27659,119588,2,16,12/30/18,0.24,2,216
27759,119900,7,13,6/26/19,0.12,1,224
27883,120223,4,25,12/10/11,0.23,1,0
28321,65091,2,9,10/5/18,0.08,1,324
28396,6197784,1,9,9/18/11,0.08,1,245
28907,124352,5,21,8/15/17,0.19,1,189
29012,124797,15,36,8/17/17,0.33,1,307
29013,35935,3,63,5/14/19,0.58,2,310
29455,126607,3,155,6/20/19,1.42,3,213
29628,127608,3,260,7/3/19,2.35,1,278
29683,125857,5,73,6/25/19,0.66,1,209
30031,129352,3,193,5/20/19,1.86,1,0
30927,120335,3,32,6/14/19,0.29,1,16
31130,117287,2,50,5/26/19,0.45,3,234
31555,135619,29,26,7/1/19,0.25,1,12
31902,137292,2,2,1/1/19,0.02,1,178
31994,137814,2,426,6/24/19,3.89,3,275
32023,137974,3,227,6/23/19,2.09,2,163
32037,116599,4,84,7/1/19,0.77,3,365
32100,138579,29,3,7/30/17,0.03,1,34
32289,139612,3,10,6/11/18,0.1,1,280
32331,139874,2,4,4/24/16,0.04,1,0
32363,140025,2,1,9/19/11,0.01,1,1
32965,137974,3,124,6/20/19,1.72,2,170
32969,142833,3,11,7/2/19,0.11,1,188
33009,143027,4,240,6/17/19,2.19,1,214
33014,143048,3,30,6/17/19,0.28,1,248
33223,72014,3,200,6/22/19,1.86,4,262
34760,149929,8,27,6/29/19,1.05,5,280
35526,120291,4,79,6/22/19,0.74,1,307
36121,62165,15,9,5/10/13,0.09,1,339
36133,142684,3,155,6/13/19,1.61,1,1
36442,137432,15,4,8/27/18,0.05,1,269
36647,157798,2,34,5/29/17,0.32,1,10
36703,158284,45,134,3/31/19,1.24,1,312
36934,159370,6,27,12/27/18,0.25,1,189
38638,92788,4,126,6/26/19,1.16,2,290
38663,165789,3,23,12/31/18,0.27,1,230
39267,168417,1,234,6/8/19,2.6,2,164
39282,168525,4,202,5/28/19,1.86,2,53
39593,110506,30,28,4/12/19,0.26,1,126
39704,170510,2,309,6/22/19,2.86,2,3
40039,171851,3,14,4/25/11,0.13,1,189
40453,174025,3,4,9/23/16,0.08,1,365
41348,180083,2,80,7/6/19,2.17,1,0
41513,181167,3,2,11/2/15,0.04,1,0
42580,137814,2,294,6/24/19,3.47,3,336
42729,11481,2,150,6/18/19,1.4,3,342
42882,185978,2,166,6/13/19,1.66,1,312
43957,177536,2,47,6/19/19,0.94,1,37
44096,190409,1,219,7/4/19,2.04,3,353
44161,193360,2,193,7/6/16,1.78,1,177
44212,72062,1,84,6/23/19,0.78,4,310
44221,193722,3,114,6/20/19,1.06,1,0
44229,181376,2,213,6/24/19,2,2,321
44288,193637,3,86,6/1/19,0.8,1,246
44506,126607,3,80,5/26/19,0.75,3,231
45393,201297,26,38,4/20/16,0.36,1,225
45542,202249,2,18,12/17/18,1.79,1,0
45556,67778,2,206,6/30/19,1.92,2,0
45910,204539,8,10,5/12/19,0.11,5,365
45936,867225,4,122,5/14/19,1.18,2,233
45940,204724,4,33,4/8/19,0.58,1,1
46544,8198,5,52,6/5/19,0.5,1,18
46723,209460,3,126,5/19/19,1.17,4,343
46911,210746,3,51,6/24/19,0.48,3,250
47199,212722,3,199,6/24/19,1.85,1,326
47362,214148,26,30,9/3/12,0.29,1,364
47370,214287,3,3,7/17/15,0.03,1,0
47926,218404,1,41,6/26/19,0.38,1,299
48719,221873,2,109,6/15/19,1.04,1,207
50447,9744,5,151,6/22/19,1.43,3,162
51438,236421,14,0,,,2,0
51485,236655,1,285,6/22/19,2.69,1,7
51572,237329,1,375,6/18/19,3.52,1,328
51850,27848,2,52,5/20/19,0.49,2,365
53137,240360,5,10,7/1/19,1.01,1,0
53196,247432,2,11,11/13/17,0.48,1,0
53469,204539,30,33,5/9/15,0.31,5,240
53470,204539,7,6,10/8/15,0.06,5,365
53477,204539,7,38,4/27/19,0.38,5,365
54158,10889,2,358,6/20/19,3.44,2,164
54453,255583,6,10,1/7/14,0.09,1,363
54466,253385,30,0,,,1,365
54508,210746,2,226,6/6/19,2.12,3,250
54544,256161,1,104,6/22/19,1,5,247
54626,190409,1,138,6/30/19,1.45,3,323
54860,258164,5,204,6/23/19,1.92,1,192
55467,260709,2,253,7/2/19,3.04,1,125
55498,262138,2,23,7/1/19,0.22,1,91
55668,88209,2,115,12/5/18,1.17,1,75
55737,263414,5,129,5/19/19,1.22,1,286
55959,168525,4,82,6/10/19,1.13,2,60
55982,264928,3,37,12/31/18,0.35,1,0
56467,267593,1,204,7/1/19,2.04,1,192
56525,268014,2,69,6/13/19,0.65,1,58
56859,256161,1,192,6/3/19,1.84,5,245
57166,272006,2,17,6/17/19,0.16,1,292
57297,199392,2,222,6/24/19,2.12,1,279
57468,239208,3,205,6/23/19,1.96,1,0
57618,274557,3,94,6/9/19,0.96,1,3
57740,275459,3,7,5/24/19,0.07,1,351
57754,275578,2,108,6/30/19,1.09,1,201
57874,276291,3,222,6/26/19,2.1,2,232
58059,277379,1,458,7/3/19,4.58,2,258
58062,277394,2,21,5/17/19,0.26,1,272
58467,279797,7,17,5/8/19,0.3,1,341
59014,282927,3,41,1/2/19,0.39,1,244
59121,204539,14,1,9/17/12,0.01,5,365
59642,274782,2,69,5/19/19,0.67,1,12
59709,186084,4,18,7/1/19,0.18,2,265
59855,288031,30,82,1/5/16,0.78,1,0
60164,289653,4,94,6/23/19,0.99,1,329
60457,99212,5,10,5/11/19,0.1,1,91
60611,292204,28,183,9/29/18,1.83,2,365
60666,256161,1,189,6/11/19,1.82,5,253
60673,249372,2,1,10/7/18,0.11,1,365
60680,292630,2,127,6/20/19,1.22,1,320
60794,293394,4,4,8/25/17,0.04,1,0
60948,126607,3,135,6/20/19,1.3,3,192
61167,295760,2,21,12/12/15,0.2,1,0
61224,291112,2,35,7/27/17,0.34,1,348
61406,297176,14,10,6/1/19,2.21,2,0
61492,297769,4,171,6/23/19,1.8,2,353
61509,23619,200,92,4/30/19,0.9,1,140
62095,281764,3,238,6/14/19,2.3,1,2
62427,303882,50,56,5/26/19,0.58,1,56
62430,197755,3,111,6/22/19,2.13,1,68
62452,303939,2,193,6/25/19,1.85,6,360
62461,303939,2,147,6/10/19,1.44,6,0
62787,303939,2,177,7/2/19,1.71,6,320
62891,306545,3,185,5/24/19,1.78,2,326
62903,306605,9,62,6/21/19,0.7,2,76
62925,306739,3,124,6/16/19,1.22,3,279
63299,308875,2,181,6/23/19,1.77,2,15
63320,303939,2,333,7/2/19,3.19,6,340
63360,307962,5,441,6/24/19,4.5,1,226
63546,308652,1,45,5/16/19,0.46,2,365
63573,310458,14,9,8/29/16,0.09,2,0
63588,295128,2,0,,,7,349
63610,310670,2,38,6/27/19,0.5,13,365
63657,170510,2,248,6/25/19,2.39,2,11
63693,306545,5,143,6/19/19,1.38,2,316
63719,311286,3,36,8/19/18,0.41,4,281
63913,312288,7,0,,,2,323
64000,312722,17,14,1/7/19,0.14,4,362
64015,146944,3,0,,,1,0
64107,313317,3,279,6/24/19,2.69,1,301
64277,311286,4,18,1/2/19,0.22,4,189
64314,314256,6,50,5/26/19,3.55,1,0
64365,314582,2,227,6/27/19,2.27,2,287
64707,7310,14,1,1/2/19,0.16,1,14
64837,46978,2,203,6/23/19,1.96,2,86
65019,317809,2,210,7/6/19,2.1,1,261
65268,319092,5,64,1/5/19,0.67,1,68
65556,320422,3,0,,,1,0
65562,320450,7,5,1/3/19,0.15,1,231
65615,320761,10,49,6/29/19,0.48,1,152
65660,320538,4,132,7/7/19,1.27,1,46
65813,321756,3,20,1/2/19,0.26,1,364
65834,321934,2,11,5/2/13,0.11,1,246
66008,322884,3,51,7/1/19,0.57,1,288
66026,322716,21,15,6/30/19,0.15,5,331
66251,324460,3,67,6/25/19,1.31,1,51
66275,314941,1,109,6/23/19,1.11,3,364
66451,325389,2,9,2/16/19,0.11,1,254
66718,136227,6,187,6/23/19,1.87,1,189
66741,327673,2,214,6/23/19,2.08,2,263
66974,329436,3,69,7/1/19,0.79,2,258
67288,101597,28,22,6/15/19,0.26,1,103
67299,330347,30,56,5/6/19,0.56,1,42
67397,332189,3,93,6/22/19,0.93,1,246
68099,323517,1,104,6/25/19,1.05,2,364
68305,338454,30,64,7/6/18,0.68,1,318
68403,240427,3,127,6/24/19,1.25,2,72
68735,342054,11,30,6/13/19,0.32,1,249
68765,282655,2,106,6/27/19,1.34,3,272
68900,343250,3,6,11/13/16,0.1,1,325
68974,281229,2,191,6/20/19,1.88,1,298
69894,352168,30,48,6/11/19,0.55,1,35
69921,155689,5,47,6/29/19,0.49,1,203
70095,353965,2,120,6/30/19,1.27,1,132
70128,354330,3,52,1/10/19,0.63,1,5
70609,72062,2,48,6/16/19,0.48,4,297
71010,361855,3,32,5/24/19,0.43,2,276
71248,363834,25,43,6/17/19,0.42,1,102
71366,364955,30,39,6/25/19,0.44,1,251
71384,365153,1,50,5/13/14,0.5,1,188
71812,369015,30,4,1/2/19,0.35,2,346
72190,373085,13,38,2/15/19,0.39,1,0
72265,340692,3,29,6/16/19,0.36,1,15
74073,211877,4,59,6/23/19,0.6,1,71
74240,389924,1,68,6/7/19,0.67,2,215
74333,331328,14,26,11/25/15,0.27,3,253
74404,391325,14,31,8/22/12,0.31,1,78
74680,265109,2,198,5/31/19,2.01,1,257
74860,394752,2,1,3/28/11,0.01,1,0
75193,308875,2,220,6/22/19,2.17,2,8
75635,401696,3,286,6/27/19,2.81,1,191
76761,118971,2,398,6/28/19,3.97,3,182
77765,417504,3,36,7/1/19,0.36,28,79
77936,134355,3,36,6/14/19,0.36,1,49
78919,422561,4,6,2/5/16,0.1,1,0
79067,425506,6,14,4/20/19,0.3,1,156
79782,430188,14,76,3/31/19,0.76,6,343
80493,434987,2,182,7/4/19,1.81,1,200
80684,417504,3,8,3/27/16,0.09,28,60
80700,417504,3,7,5/24/19,0.07,28,60
80924,438133,30,34,9/25/18,0.51,2,189
81739,417504,3,2,5/12/11,0.02,28,60
82549,448312,3,66,9/16/16,0.68,2,0
82550,448312,3,80,6/30/19,0.85,2,106
82638,449787,4,240,6/6/19,2.4,1,276
82928,451545,3,46,7/2/19,1.07,1,248
83243,453519,2,228,6/10/19,2.27,1,194
83446,454756,35,5,9/3/18,0.05,1,135
83722,456638,30,8,8/26/18,0.11,1,30
83847,410094,2,33,1/2/19,0.33,1,0
84010,417504,3,13,6/27/19,0.14,28,81
84059,459054,5,5,7/22/18,0.05,1,0
84659,462776,1,388,6/26/19,3.88,1,142
84905,464506,3,223,6/23/19,2.22,2,60
85094,322716,15,11,1/14/19,0.11,5,179
86215,327900,2,151,6/24/19,1.51,2,52
89427,116599,5,0,,,3,365
89621,209460,3,218,6/28/19,2.26,4,324
93313,25183,2,75,6/23/19,0.76,2,237
94035,35375,1,42,7/6/19,1.21,2,365
94209,503800,90,0,,,1,365
94477,478395,2,370,7/5/19,3.74,1,204
94783,473113,5,104,6/21/19,1.04,1,272
95747,509341,7,13,7/18/16,0.13,1,0
95883,509918,5,4,12/26/18,0.07,1,9
96471,116599,4,11,6/7/19,0.11,3,365
98330,31374,4,1,1/3/12,0.01,3,181
98663,520279,30,19,6/11/18,0.19,1,189
99070,522065,7,131,5/26/19,1.31,2,0
99085,522164,30,15,5/1/19,0.15,1,189
100002,523218,2,136,6/17/19,1.37,1,296
100184,526653,1,43,7/8/19,0.45,1,88
100186,526805,7,98,6/28/19,0.99,1,35
101053,530032,3,31,3/1/19,0.31,1,0
102995,178043,21,45,1/1/18,0.46,1,35
103161,465278,3,124,6/26/19,1.76,1,359
103311,417504,3,9,5/19/18,0.09,28,60
103806,251176,5,166,5/27/19,1.68,2,365
105469,547386,27,13,9/21/15,0.13,1,335
105510,322716,30,15,1/5/19,0.16,5,282
106363,551055,3,380,6/26/19,3.83,2,247
106647,552679,2,86,6/16/19,0.87,1,102
107630,306739,3,248,6/20/19,2.53,3,274
107895,3088389,5,49,6/19/19,0.56,1,201
110739,568568,18,54,7/3/19,0.57,1,98
112100,572527,7,3,1/1/13,0.03,1,157
112304,573316,1,1,1/2/16,0.02,1,0
112359,571952,2,56,12/28/18,0.57,1,312
112435,181376,2,163,5/24/19,1.66,2,331
113265,314582,2,247,6/21/19,2.51,2,275
113945,275582,10,116,5/11/19,1.17,1,174
114123,579495,14,27,5/19/19,0.28,2,223
114229,314941,1,52,6/8/19,0.6,3,361
114969,582598,6,39,9/24/18,0.4,1,0
115535,567187,14,35,6/1/19,0.35,1,283
115678,127772,1,320,6/23/19,3.23,1,220
115748,585166,4,30,6/16/19,0.32,1,363
116940,209460,3,225,6/24/19,2.27,4,315
117425,593115,30,95,5/26/18,0.96,1,281
118061,2248897,4,70,6/28/19,0.75,1,283
118430,585458,2,35,1/3/19,0.36,1,20
118680,599354,2,0,,,1,0
120362,138069,4,50,7/2/19,0.51,1,331
121687,262812,2,29,6/23/19,0.31,1,36
121861,611716,2,23,5/2/16,0.23,2,7
123784,617990,2,142,6/16/19,1.44,2,301
125053,622460,2,70,7/1/19,0.73,1,170
125163,622855,2,38,6/3/19,0.54,2,307
125594,308652,1,82,5/19/19,0.94,2,365
126443,627217,2,403,7/7/19,4.1,3,201
126816,620288,1,3,11/6/14,0.03,1,0
127387,23276,30,3,8/4/14,0.03,1,316
128975,256161,1,116,6/13/19,1.18,5,271
131154,275563,2,175,7/7/19,1.79,1,139
132516,85330,3,28,7/1/19,1.21,3,209
132570,651390,4,24,12/26/17,0.25,1,0
132695,507186,2,15,6/6/16,0.15,1,0
133025,653405,4,105,6/6/19,1.07,1,193
134934,652842,10,22,5/30/19,0.38,1,52
135393,663764,2,263,6/24/19,2.69,2,136
135465,663879,3,86,6/20/19,0.91,2,286
135706,665013,4,10,1/1/17,0.1,1,0
136493,663384,7,18,5/27/19,0.21,1,18
138216,674970,5,8,7/8/18,0.21,1,9
139624,680818,20,70,1/31/19,0.73,1,3
140133,622866,3,150,7/5/19,1.55,1,277
140425,683975,2,115,5/25/17,1.18,1,0
140973,686147,2,69,5/26/19,0.71,1,233
141154,686768,3,232,6/22/19,2.41,1,221
141335,687361,1,35,1/13/18,0.41,1,355
141890,689661,3,18,10/1/13,0.21,1,0
141984,630453,3,68,6/10/19,0.69,1,277
142069,277747,4,22,11/10/14,0.23,1,0
144087,616825,8,17,5/18/19,0.17,1,343
144148,299755,1,34,1/5/16,0.58,1,0
145064,404424,7,8,6/6/14,0.08,1,0
145188,703156,4,0,,,1,0
145994,706418,5,2,7/6/18,0.08,1,0
146754,709434,4,52,4/27/19,0.72,1,188
147586,709334,2,74,6/16/19,0.76,2,264
148201,715807,3,18,5/31/13,0.19,1,0
148259,716064,2,72,5/11/19,0.86,1,331
148825,718349,2,191,6/29/19,2.18,1,236
149287,720320,4,0,,,1,0
149777,716306,1,197,6/23/19,2.49,1,309
150804,726333,4,19,7/6/19,0.2,1,0
151199,722320,1,414,7/3/19,4.34,1,245
151478,216191,2,8,12/11/18,0.09,4,0
152071,731855,2,0,,,1,8
152078,731904,7,25,2/12/19,0.3,1,359
152259,256161,3,119,5/28/19,1.22,5,333
152263,732535,2,203,7/6/19,2.14,3,258
152520,733894,40,53,11/16/18,0.55,3,236
153405,737585,2,104,6/16/19,1.09,1,22
153780,739499,3,175,6/28/19,1.8,1,236
154934,745069,3,38,5/8/18,0.42,3,365
155296,656841,45,39,5/2/19,0.5,1,89
157673,757166,31,88,6/16/19,0.91,1,164
158061,758441,1,27,10/8/17,0.28,4,311
158176,573065,5,117,6/29/19,1.28,1,23
158290,759583,3,43,5/20/19,0.44,2,365
158913,762563,5,4,3/13/15,0.05,1,0
158955,465589,2,385,6/29/19,4,1,222
159749,54275,1,64,7/1/19,0.68,3,238
159815,54275,1,39,6/24/19,0.41,3,218
159913,759883,2,37,7/3/19,1.79,1,0
160609,769247,3,10,1/1/19,0.12,1,0
160994,770831,2,103,6/24/19,1.08,1,235
161366,733894,40,41,6/1/19,0.43,3,246
161394,772300,6,3,8/31/14,0.03,1,0
161996,1856604,3,227,6/26/19,2.33,1,247
162493,776490,5,37,12/27/18,0.79,1,15
162508,776645,2,29,6/28/19,0.35,1,119
163627,242506,3,205,12/31/17,2.31,3,0
163809,781647,5,42,6/3/19,0.44,2,234
163814,627217,2,280,7/5/19,2.92,3,257
163836,32169,4,86,6/8/19,0.89,3,350
164989,69439,2,54,6/16/19,0.56,1,221
165080,787273,7,7,8/29/18,0.07,1,0
165461,867225,5,57,1/1/19,0.59,2,201
165824,733894,44,31,5/1/19,0.32,3,161
166006,791287,31,188,8/23/18,1.94,1,259
166172,792159,3,480,7/7/19,6.7,1,0
166541,793620,2,34,6/15/19,0.35,1,222
166983,795640,5,6,8/8/15,0.06,1,0
167013,306605,9,3,5/13/18,0.04,2,76
167017,795889,5,2,8/31/14,0.03,1,0
167222,22486,1,20,8/24/18,0.21,6,258
167482,789257,2,129,6/7/19,1.33,1,14
168084,800982,3,147,6/30/19,1.6,1,27
168123,720558,28,101,7/1/19,1.06,1,167
168546,803086,2,11,1/2/16,0.12,2,68
168810,747698,65,11,10/15/13,0.12,1,358
169002,805344,2,41,6/16/19,0.43,2,59
169152,806112,2,87,4/18/17,1.09,1,0
169306,806214,4,117,5/21/19,1.21,1,232
169464,806774,2,86,5/16/19,0.89,2,15
169483,807642,7,0,,,2,0
170420,812814,2,15,2/15/16,0.16,1,0
170761,67778,2,35,7/2/19,0.55,2,161
171776,803086,2,17,10/1/15,0.18,2,88
172700,302772,3,3,2/15/16,0.04,2,337
172870,781647,5,43,1/3/18,0.47,2,247
173072,826192,3,168,7/6/19,4.6,1,248
173151,826459,3,241,6/24/19,2.49,1,287
173742,829652,2,105,6/23/19,1.13,1,304
174527,833926,2,11,10/28/18,0.46,1,0
174966,836168,30,30,5/5/18,0.33,11,0
176135,842125,3,31,10/23/18,0.32,1,193
176653,844862,4,49,5/7/19,0.51,2,43
176962,846309,4,23,4/13/19,0.24,1,25
177421,848748,2,20,6/24/19,0.21,2,127
177495,848960,10,18,6/24/19,0.9,1,0
177606,849492,6,90,6/23/19,0.95,1,303
179670,21475,2,99,6/27/19,1.04,1,345
179741,314941,1,6,6/28/19,0.06,3,115
180507,864735,30,21,12/1/18,0.22,8,200
180792,864735,30,24,4/4/19,0.26,8,271
181972,872121,2,111,6/2/19,1.17,1,12
182069,39260,2,86,6/20/19,0.91,1,268
182095,872805,15,66,4/29/19,0.69,2,89
182177,873273,2,271,6/20/19,2.84,2,347
182649,876054,2,227,6/18/19,2.4,1,37
185266,889106,4,80,7/6/19,1.55,1,0
187488,871727,30,5,12/3/18,0.07,1,359
187566,279078,2,187,6/10/19,1.97,2,287
187986,904833,1,2,8/28/15,0.02,1,0
188146,906200,6,1,1/1/16,0.02,1,233
188661,909146,3,67,10/20/18,0.7,1,129
188674,909234,1,63,1/12/18,0.68,1,0
189135,179020,1,89,7/1/19,1,1,353
189181,912541,4,1,4/20/14,0.02,1,365
189732,489400,3,177,6/29/19,1.86,1,297
189787,915640,4,90,6/30/19,0.94,1,56
190267,918866,7,39,7/7/19,0.41,1,44
190542,920542,3,42,5/18/19,0.44,1,355
190968,922922,3,33,5/8/19,0.35,1,156
190974,874471,3,179,5/29/19,2.02,1,273
191075,923915,3,81,3/28/19,0.85,2,274
193105,936114,28,43,6/29/19,0.45,2,258
193333,302936,30,52,10/31/18,0.54,1,276
193393,938056,2,160,6/25/19,1.68,1,65
193853,48599,6,23,5/21/18,0.27,2,0
194154,936830,6,35,6/18/17,0.37,1,180
195123,940724,1,225,6/12/19,2.35,1,343
195233,949221,1,401,7/4/19,6.62,2,43
195240,949221,1,72,6/17/19,0.84,2,96
195578,304493,1,46,12/30/18,0.97,1,59
195971,953279,3,83,6/23/19,1.19,1,255
195989,611716,1,211,6/15/19,2.21,2,252
196010,953565,5,15,6/14/15,0.16,1,0
197155,960836,1,122,6/23/19,1.29,1,20
197753,964482,2,295,6/12/19,3.9,2,188
197942,289135,3,207,7/7/19,2.18,1,304
199195,971075,3,50,3/30/19,0.65,2,38
199312,973438,2,273,6/24/19,2.85,1,254
200645,933378,1,0,,,1,0
200955,568325,30,25,4/30/18,0.26,1,46
201992,988350,4,105,5/11/19,1.62,1,328
202273,918087,4,72,12/26/16,0.76,3,0
203901,1000477,1,8,9/18/16,0.08,1,0
204065,51038,2,58,6/4/19,0.61,6,199
204833,903686,6,8,9/17/15,0.09,1,249
204959,464506,3,172,7/2/19,1.84,2,64
205043,1007558,1,330,6/20/19,7.14,1,111
205485,1010242,3,123,6/11/19,1.29,1,287
205735,1011426,2,55,4/30/19,0.59,1,286
205867,1012691,4,87,7/3/19,0.99,1,263
206071,12221,3,258,6/25/19,2.7,2,276
206316,1014639,2,4,8/27/18,0.18,1,0
206772,1017473,14,31,5/26/19,0.33,1,263
206957,1018472,4,128,11/15/16,1.34,2,90
208148,1024355,3,14,8/31/15,0.15,1,0
208889,1029021,3,30,6/24/19,0.32,3,11
209310,1031148,28,258,5/28/19,2.9,1,287
211078,306739,3,228,4/25/18,2.39,3,1
211974,272730,1,60,7/1/19,0.65,1,0
212109,666271,90,9,6/30/19,0.2,1,338
212178,1094178,2,179,6/19/19,1.88,1,44
212544,1096084,7,9,6/23/16,0.1,1,0
213272,293130,1,1,4/21/19,0.37,1,5
213330,800223,30,25,8/29/18,0.49,1,0
214917,1109658,2,2,2/8/18,0.05,1,158
215560,1112560,3,152,6/25/19,1.6,3,192
215784,864735,30,24,3/31/19,0.25,8,358
215907,1114587,2,45,4/22/19,0.47,3,31
217580,1121193,30,7,11/14/18,0.08,1,241
218358,1129218,7,19,6/3/19,0.35,1,285
219066,447754,1,24,1/19/19,0.26,1,183
219482,759583,4,8,10/14/17,0.09,2,189
219793,1138692,1,29,6/3/15,0.31,2,162
219818,1138692,1,14,7/20/15,0.15,2,158
219922,1139574,1,33,5/25/19,0.38,1,84
220351,921500,4,99,2/28/19,1.04,1,260
220563,918087,3,59,1/5/17,0.62,3,0
