host_id,host_name,list_id,neighbourhood_group,neighbourhood,calculated_host_listings_count
59023,Bianca,14991,Manhattan,Lower East Side,1
59734,Luiz,15220,Manhattan,Hell's Kitchen,2
32169,Andrea,15338,Brooklyn,Greenpoint,3
60049,Ted,15341,Manhattan,SoHo,1
60252,Cristina,15385,Brooklyn,Williamsburg,1
60278,Petra,15396,Manhattan,Chelsea,1
61491,D,15711,Manhattan,Upper East Side,2
63588,Dimitri,16326,Brooklyn,Prospect Heights,2
63613,Patricia,16338,Brooklyn,Clinton Hill,2
63924,Mark,16421,Manhattan,Hell's Kitchen,1
64056,Sara,16458,Brooklyn,Park Slope,1
64442,Reka,16580,Manhattan,East Village,2
64522,Daniel,16595,Brooklyn,Williamsburg,1
4396,Casey,16821,Manhattan,East Village,2
65837,Robin,16974,Manhattan,East Harlem,1
66035,Anna,17037,Manhattan,East Village,1
66243,Enzo,17092,Manhattan,Hell's Kitchen,1
68428,Tye And Etienne,17693,Manhattan,Washington Heights,2
68599,George,17747,Brooklyn,Clinton Hill,1
69829,Josh,18127,Manhattan,East Village,1
69942,Victoria,18152,Manhattan,Upper East Side,1
70091,Justin,18198,Queens,Woodside,1
71512,Blaise,18590,Brooklyn,Fort Greene,1
71876,DAVID And RICK,18728,Manhattan,Chelsea,1
72014,Lulú,18764,Brooklyn,Williamsburg,4
73051,Sybilla,19159,Manhattan,Harlem,1
73128,JoLynn,19169,Manhattan,Lower East Side,1
73469,Gaia,19282,Brooklyn,Flatbush,1
44263,Ana,19319,Manhattan,Lower East Side,1
74303,Maggie,19601,Brooklyn,Brooklyn Heights,1
74857,Starlee,19812,Brooklyn,Williamsburg,1
62407,Edward,20299,Manhattan,East Village,1
76627,Pas,20300,Manhattan,East Village,1
72014,Lulú,20611,Brooklyn,Williamsburg,4
961342,Augustin,20724,Brooklyn,Bushwick,1
78460,Sean & Lynette,20734,Brooklyn,Prospect Heights,1
51038,Erica,20755,Brooklyn,Clinton Hill,6
79070,Tracy,20853,Brooklyn,Prospect Heights,1
79402,Christiana,20913,Brooklyn,Williamsburg,1
44145,Tyrome,21293,Brooklyn,Bushwick,2
42032,Dana,21456,Manhattan,Upper West Side,1
82685,Elliott,21644,Manhattan,Harlem,1
83257,Olan,21794,Manhattan,Chelsea,2
87773,Shelly,22911,Brooklyn,Bedford-Stuyvesant,2
32294,Ssameer Or Trip,22918,Manhattan,Harlem,3
11481,Annette,23135,Brooklyn,Carroll Gardens,3
63318,Meka,23501,Manhattan,Washington Heights,1
93790,Ann,23686,Manhattan,West Village,2
97219,Seth,24143,Brooklyn,Williamsburg,1
97797,Brenda,24285,Brooklyn,Park Slope,1
87773,Shelly,25235,Brooklyn,Bedford-Stuyvesant,2
105538,Erik,25406,Brooklyn,Williamsburg,1
107628,Dena,25696,Manhattan,Harlem,1
109589,Jessica,26012,Brooklyn,Gowanus,1
59734,Luiz,26362,Manhattan,Hell's Kitchen,2
51038,Erica,26520,Brooklyn,Clinton Hill,6
112793,Sally,26559,Manhattan,East Village,1
42273,Dani,26785,Brooklyn,South Slope,2
72062,Bruce,26933,Manhattan,East Village,4
115157,Nimo,26954,Manhattan,Kips Bay,1
115307,Alexandra,26969,Brooklyn,Williamsburg,1
115560,Stacy,27006,Manhattan,Upper West Side,1
72062,Bruce,27385,Manhattan,East Village,4
118971,Evelyn,27531,Brooklyn,South Slope,3
119510,Emma,27644,Manhattan,Harlem,1
119588,Vero,27659,Brooklyn,South Slope,2
119900,Sylvie,27759,Manhattan,Upper West Side,1
120223,Jen,27883,Manhattan,East Village,1
65091,Kay,28321,Brooklyn,Prospect-Lefferts Gardens,1
6197784,Jo,28396,Brooklyn,Williamsburg,1
124352,Lisa,28907,Manhattan,Upper East Side,1
124797,Fernando And Lenin,29012,Manhattan,Washington Heights,1
35935,Angela,29013,Brooklyn,Bedford-Stuyvesant,2
126607,Laurine,29455,Manhattan,Harlem,3
127608,Chris,29628,Brooklyn,Clinton Hill,1
125857,Uli,29683,Manhattan,East Village,1
129352,Sol,30031,Brooklyn,Greenpoint,1
120335,Cs,30927,Manhattan,Lower East Side,1
117287,Lara,31130,Manhattan,Hell's Kitchen,3
135619,Tom,31555,Manhattan,West Village,1
137292,Sunder,31902,Brooklyn,Flatlands,1
137814,Waldemar,31994,Brooklyn,Clinton Hill,3
137974,Khem,32023,Brooklyn,Bedford-Stuyvesant,2
116599,Sahr,32037,Brooklyn,Clinton Hill,3
138579,Ali+Scott,32100,Brooklyn,Greenpoint,1
139612,Elisabeth,32289,Brooklyn,Williamsburg,1
139874,Sarah,32331,Brooklyn,Cobble Hill,1
140025,Fredah,32363,Queens,Flushing,1
137974,Khem,32965,Brooklyn,Bedford-Stuyvesant,2
142833,Katherine,32969,Brooklyn,Williamsburg,1
143027,Ming,33009,Brooklyn,Williamsburg,1
143048,Paula,33014,Manhattan,East Village,1
72014,Lulú,33223,Brooklyn,Williamsburg,4
149929,Obed,34760,Brooklyn,Fort Greene,5
120291,Karen,35526,Manhattan,West Village,1
62165,Michael,36121,Brooklyn,Prospect Heights,1
142684,White,36133,Brooklyn,Williamsburg,1
137432,Paz,36442,Brooklyn,Prospect Heights,1
157798,Irene,36647,Manhattan,East Harlem,1
158284,Karene,36703,Manhattan,West Village,1
159370,Viviana,36934,Brooklyn,Williamsburg,1
92788,Sara,38638,Manhattan,Upper East Side,2
165789,Sarah,38663,Brooklyn,Boerum Hill,1
168417,Marie,39267,Manhattan,Upper East Side,2
168525,Gus,39282,Brooklyn,Williamsburg,2
110506,Myung,39593,Queens,Sunnyside,1
170510,Renée,39704,Brooklyn,Bedford-Stuyvesant,2
171851,Henry,40039,Brooklyn,DUMBO,1
174025,Sylvia,40453,Manhattan,Upper East Side,1
180083,Syl,41348,Brooklyn,Gowanus,1
181167,Lorenzo,41513,Manhattan,Harlem,1
137814,Waldemar,42580,Brooklyn,Clinton Hill,3
11481,Annette,42729,Brooklyn,Carroll Gardens,3
185978,Newyorkroomwithaview,42882,Staten Island,St. George,1
177536,Tessa,43957,Brooklyn,Bushwick,1
190409,Waundell,44096,Bronx,Highbridge,3
193360,Young,44161,Brooklyn,Williamsburg,1
72062,Bruce,44212,Manhattan,East Village,4
193722,Coral,44221,Manhattan,Financial District,1
181376,Carol,44229,Brooklyn,Fort Greene,2
193637,Sara,44288,Manhattan,West Village,1
126607,Laurine,44506,Manhattan,Harlem,3
201297,Myrna,45393,Manhattan,West Village,1
202249,Campbell,45542,Manhattan,Harlem,1
67778,Doug,45556,Brooklyn,Fort Greene,2
204539,Mark,45910,Queens,Ridgewood,5
867225,Rahul,45936,Manhattan,Morningside Heights,2
204724,Miyoung,45940,Brooklyn,Williamsburg,1
8198,Monica,46544,Brooklyn,Park Slope,1
209460,Marylyn,46723,Brooklyn,Bedford-Stuyvesant,4
210746,Kathleen R.,46911,Brooklyn,Prospect Heights,3
212722,Teresa,47199,Manhattan,Upper East Side,1
214148,Robert,47362,Brooklyn,Bedford-Stuyvesant,1
214287,Alex,47370,Manhattan,Chelsea,1
218404,Claudia,47926,Manhattan,Hell's Kitchen,1
221873,Shane,48719,Manhattan,Lower East Side,1
9744,Laurie,50447,Brooklyn,South Slope,3
236421,Jessica,51438,Manhattan,Upper East Side,2
236655,Erina,51485,Manhattan,Lower East Side,1
237329,Lee,51572,Manhattan,Chelsea,1
27848,Jullett,51850,Queens,Jamaica,2
240360,Marlaine,53137,Manhattan,Hell's Kitchen,1
247432,Charlotte,53196,Brooklyn,Bedford-Stuyvesant,1
204539,Mark,53469,Queens,Middle Village,5
204539,Mark,53470,Queens,Ridgewood,5
204539,Mark,53477,Queens,Middle Village,5
10889,Bob,54158,Brooklyn,Williamsburg,2
255583,Anka,54453,Manhattan,Hell's Kitchen,1
253385,Douglas,54466,Manhattan,Harlem,1
210746,Kathleen R.,54508,Brooklyn,Prospect Heights,3
256161,Wayne,54544,Manhattan,Harlem,5
190409,Waundell,54626,Bronx,Highbridge,3
258164,Jenny,54860,Manhattan,East Harlem,1
260709,Paul,55467,Brooklyn,Williamsburg,1
262138,Tami,55498,Brooklyn,Bedford-Stuyvesant,1
88209,Jason,55668,Manhattan,NoHo,1
263414,Pete,55737,Manhattan,West Village,1
168525,Gus,55959,Brooklyn,Williamsburg,2
264928,Sally,55982,Brooklyn,Fort Greene,1
267593,Leonardo,56467,Manhattan,East Village,1
268014,Alex,56525,Brooklyn,Greenpoint,1
256161,Wayne,56859,Manhattan,Harlem,5
272006,Vasili,57166,Queens,Ditmars Steinway,1
199392,S.M.,57297,Brooklyn,Cobble Hill,1
239208,Ori,57468,Manhattan,East Village,1
274557,Ana,57618,Manhattan,Hell's Kitchen,1
275459,I,57740,Manhattan,East Village,1
275578,R,57754,Manhattan,Flatiron District,1
276291,Simon,57874,Manhattan,Harlem,2
277379,Agnes,58059,Manhattan,Harlem,2
277394,Linda,58062,Brooklyn,Windsor Terrace,1
279797,Dave,58467,Manhattan,Roosevelt Island,1
282927,Drica,59014,Manhattan,Lower East Side,1
204539,Mark,59121,Queens,Ridgewood,5
274782,Betty,59642,Brooklyn,Greenpoint,1
186084,Ricardo & Ashlie,59709,Manhattan,Chinatown,2
288031,Leslie,59855,Manhattan,Midtown,1
289653,Harrison,60164,Manhattan,SoHo,1
99212,Jessica,60457,Manhattan,Greenwich Village,1
292204,Blanca,60611,Manhattan,East Harlem,2
256161,Wayne,60666,Manhattan,Harlem,5
249372,Cynthia,60673,Manhattan,Harlem,1
292630,Mich,60680,Manhattan,East Village,1
293394,Rachel,60794,Manhattan,Upper West Side,1
126607,Laurine,60948,Manhattan,East Harlem,3
295760,Greta,61167,Manhattan,Little Italy,1
291112,Frank,61224,Manhattan,Chelsea,1
297176,Bethania,61406,Manhattan,Harlem,2
297769,Tunji,61492,Manhattan,Chinatown,2
23619,Anna/Fonzy,61509,Manhattan,Midtown,1
281764,Colette&Sean,62095,Brooklyn,East Flatbush,1
303882,Brie,62427,Manhattan,East Village,1
197755,Sheila,62430,Brooklyn,Bushwick,1
303939,Lissette,62452,Staten Island,Tompkinsville,6
303939,Lissette,62461,Staten Island,Tompkinsville,6
303939,Lissette,62787,Staten Island,Tompkinsville,6
306545,Olivia,62891,Manhattan,East Village,2
306605,Daniel,62903,Manhattan,Chelsea,2
306739,Maya,62925,Brooklyn,Greenpoint,3
308875,Scott,63299,Brooklyn,Williamsburg,2
303939,Lissette,63320,Staten Island,Tompkinsville,6
307962,Dennis & Naoko,63360,Queens,Astoria,1
308652,Antonín,63546,Brooklyn,Kensington,2
310458,Emily,63573,Brooklyn,Park Slope,2
295128,Carol Gloria,63588,Bronx,Clason Point,7
310670,Vie,63610,Bronx,Eastchester,13
170510,Renée,63657,Brooklyn,Bedford-Stuyvesant,2
306545,Olivia,63693,Manhattan,East Village,2
311286,Helene,63719,Brooklyn,Bedford-Stuyvesant,4
312288,Paula,63913,Manhattan,Inwood,2
312722,Kristian & Di,64000,Brooklyn,Williamsburg,4
146944,David,64015,Manhattan,East Village,1
313317,Niya,64107,Brooklyn,Crown Heights,1
311286,Helene,64277,Brooklyn,Bedford-Stuyvesant,4
314256,Debbie,64314,Brooklyn,Crown Heights,1
314582,Anthony,64365,Brooklyn,Crown Heights,2
7310,Tilly,64707,Manhattan,Little Italy,1
46978,Edward,64837,Manhattan,East Village,2
317809,Claire,65019,Manhattan,Upper West Side,1
319092,Juhli,65268,Brooklyn,Bedford-Stuyvesant,1
320422,Marlon,65556,Brooklyn,Williamsburg,1
320450,Mary D,65562,Manhattan,East Village,1
320761,Valerie,65615,Brooklyn,Williamsburg,1
320538,Larissa,65660,Brooklyn,Williamsburg,1
321756,Eric,65813,Manhattan,Harlem,1
321934,Jessica,65834,Brooklyn,Park Slope,1
322884,Melissa,66008,Brooklyn,Carroll Gardens,1
322716,Alex,66026,Brooklyn,Crown Heights,5
324460,Samir,66251,Manhattan,East Village,1
314941,Tony,66275,Manhattan,Lower East Side,3
325389,Luis Fernando,66451,Brooklyn,Williamsburg,1
136227,Henning,66718,Manhattan,Harlem,1
327673,Stefano,66741,Brooklyn,Park Slope,2
329436,Jana,66974,Brooklyn,Gowanus,2
101597,Per,67288,Manhattan,East Harlem,1
330347,Adrienne,67299,Brooklyn,Williamsburg,1
332189,Elise,67397,Manhattan,Morningside Heights,1
323517,Deda,68099,Manhattan,Upper West Side,2
338454,Share,68305,Manhattan,Harlem,1
240427,Naimah,68403,Brooklyn,Bedford-Stuyvesant,2
342054,Violetta,68735,Manhattan,Upper West Side,1
282655,Jenna,68765,Brooklyn,Carroll Gardens,3
343250,Jason,68900,Brooklyn,Greenpoint,1
281229,Alicia,68974,Manhattan,Little Italy,1
352168,Silvia,69894,Manhattan,Upper West Side,1
155689,Joab,69921,Brooklyn,Bushwick,1
353965,Mary And Geoff,70095,Manhattan,Inwood,1
354330,Eyal,70128,Manhattan,East Village,1
72062,Bruce,70609,Manhattan,East Village,4
361855,Kurt,71010,Manhattan,Washington Heights,2
363834,Jennifer,71248,Manhattan,Chinatown,1
364955,Ruperto,71366,Manhattan,West Village,1
365153,Ben,71384,Brooklyn,Greenpoint,1
369015,Thai,71812,Bronx,Kingsbridge,2
373085,Hudson,72190,Manhattan,Upper West Side,1
340692,Vanessa,72265,Brooklyn,Greenpoint,1
211877,Daniel,74073,Brooklyn,Williamsburg,1
389924,Patty,74240,Brooklyn,Williamsburg,2
331328,Amir,74333,Manhattan,East Harlem,3
391325,G & S,74404,Manhattan,Harlem,1
265109,Nazleen,74680,Queens,Astoria,1
394752,Allison,74860,Brooklyn,Greenpoint,1
308875,Scott,75193,Brooklyn,Williamsburg,2
401696,Patricia,75635,Manhattan,Lower East Side,1
118971,Evelyn,76761,Brooklyn,South Slope,3
417504,The Box House Hotel,77765,Brooklyn,Greenpoint,28
134355,Moss Owen,77936,Manhattan,Hell's Kitchen,1
422561,Nancy,78919,Brooklyn,Boerum Hill,1
425506,Bliss,79067,Brooklyn,Clinton Hill,1
430188,Pam,79782,Brooklyn,Williamsburg,6
434987,Jennifer,80493,Manhattan,East Village,1
417504,The Box House Hotel,80684,Brooklyn,Greenpoint,28
417504,The Box House Hotel,80700,Brooklyn,Greenpoint,28
438133,Ellis,80924,Brooklyn,Park Slope,2
417504,The Box House Hotel,81739,Brooklyn,Greenpoint,28
448312,Christopher,82549,Brooklyn,Brooklyn Heights,2
448312,Christopher,82550,Brooklyn,Brooklyn Heights,2
449787,Sarah,82638,Manhattan,East Village,1
451545,Ruthven,82928,Brooklyn,Bedford-Stuyvesant,1
453519,Julian,83243,Brooklyn,Bushwick,1
454756,Leslie,83446,Brooklyn,Fort Greene,1
456638,Sophie,83722,Brooklyn,Williamsburg,1
410094,Yvette,83847,Manhattan,East Village,1
417504,The Box House Hotel,84010,Brooklyn,Greenpoint,28
459054,Famous,84059,Brooklyn,Crown Heights,1
462776,Kyle,84659,Manhattan,East Village,1
464506,Ange,84905,Manhattan,Two Bridges,2
322716,Alex,85094,Brooklyn,Crown Heights,5
327900,T,86215,Manhattan,Lower East Side,2
116599,Sahr,89427,Brooklyn,Clinton Hill,3
209460,Marylyn,89621,Brooklyn,Bedford-Stuyvesant,4
25183,Nathalie,93313,Brooklyn,Bedford-Stuyvesant,2
35375,Savannah,94035,Queens,Astoria,2
503800,Sadatu,94209,Brooklyn,Crown Heights,1
478395,Jason,94477,Brooklyn,Bedford-Stuyvesant,1
473113,Keishera,94783,Brooklyn,Crown Heights,1
509341,Tessa,95747,Brooklyn,Williamsburg,1
509918,Eduardo,95883,Brooklyn,Bedford-Stuyvesant,1
116599,Sahr,96471,Brooklyn,Clinton Hill,3
31374,Shon,98330,Manhattan,Kips Bay,3
520279,Peter Michael,98663,Manhattan,Chelsea,1
522065,Liz And Melissa,99070,Manhattan,East Harlem,2
522164,Wanda,99085,Brooklyn,Fort Greene,1
523218,Giorgio,100002,Manhattan,Washington Heights,1
526653,,100184,Queens,Queens Village,1
526805,Mi,100186,Brooklyn,Gowanus,1
530032,Lee And Tara,101053,Brooklyn,Williamsburg,1
178043,Chas,102995,Manhattan,Upper West Side,1
465278,Ade,103161,Brooklyn,Williamsburg,1
417504,The Box House Hotel,103311,Brooklyn,Greenpoint,28
251176,Jason,103806,Manhattan,East Village,2
547386,Michelle,105469,Queens,Rockaway Beach,1
322716,Alex,105510,Brooklyn,Crown Heights,5
551055,Alicia,106363,Manhattan,Harlem,2
552679,Olivia,106647,Brooklyn,Bedford-Stuyvesant,1
306739,Maya,107630,Brooklyn,Greenpoint,3
3088389,Kai,107895,Manhattan,Upper West Side,1
568568,Driss,110739,Manhattan,Midtown,1
572527,Marine,112100,Brooklyn,Crown Heights,1
573316,Kelli,112304,Manhattan,Harlem,1
571952,Olivia,112359,Manhattan,Upper East Side,1
181376,Carol,112435,Brooklyn,Fort Greene,2
314582,Anthony,113265,Brooklyn,Crown Heights,2
275582,Natalia,113945,Manhattan,Hell's Kitchen,1
579495,Susi,114123,Brooklyn,South Slope,2
314941,Tony,114229,Manhattan,Lower East Side,3
582598,Andrey,114969,Manhattan,Midtown,1
567187,Jane,115535,Manhattan,Harlem,1
127772,Will,115678,Manhattan,Harlem,1
585166,Lilly,115748,Queens,Astoria,1
209460,Marylyn,116940,Brooklyn,Crown Heights,4
593115,LuLu,117425,Brooklyn,Brooklyn Heights,1
2248897,Roberta,118061,Brooklyn,Bedford-Stuyvesant,1
585458,Paul,118430,Manhattan,Chelsea,1
599354,Bobby,118680,Manhattan,East Village,1
138069,Itamar,120362,Brooklyn,Williamsburg,1
262812,Vikram,121687,Brooklyn,Williamsburg,1
611716,Elizabeth,121861,Brooklyn,Park Slope,2
617990,Christopher,123784,Manhattan,Harlem,2
622460,Justin,125053,Manhattan,East Village,1
622855,Rodney,125163,Brooklyn,Bedford-Stuyvesant,2
308652,Antonín,125594,Brooklyn,Kensington,2
627217,Seith,126443,Manhattan,East Village,3
620288,Eric,126816,Manhattan,Upper West Side,1
23276,Katharine,127387,Brooklyn,Gowanus,1
256161,Wayne,128975,Manhattan,Harlem,5
275563,Lauren,131154,Brooklyn,Greenpoint,1
85330,Jean,132516,Queens,Forest Hills,3
651390,Catherine,132570,Manhattan,West Village,1
507186,Holly,132695,Brooklyn,Williamsburg,1
653405,Tracy,133025,Manhattan,Murray Hill,1
652842,Giovanni,134934,Brooklyn,Williamsburg,1
663764,Karen,135393,Brooklyn,East Flatbush,2
663879,Christopher,135465,Brooklyn,Fort Greene,2
665013,Jeff,135706,Manhattan,Chelsea,1
663384,Irena,136493,Brooklyn,Park Slope,1
674970,Michael,138216,Brooklyn,Greenpoint,1
680818,Jessica,139624,Brooklyn,Crown Heights,1
622866,Daniel,140133,Brooklyn,Williamsburg,1
683975,Ivy,140425,Brooklyn,Crown Heights,1
686147,Dave,140973,Manhattan,East Village,1
686768,Mark,141154,Brooklyn,Boerum Hill,1
687361,Orna,141335,Brooklyn,Park Slope,1
689661,Allison,141890,Manhattan,Nolita,1
630453,Vanessa,141984,Manhattan,Nolita,1
277747,Josh,142069,Manhattan,East Village,1
616825,Rinaldo,144087,Manhattan,Harlem,1
299755,Jonathan,144148,Manhattan,East Village,1
404424,Oliver,145064,Brooklyn,Williamsburg,1
703156,Kristin,145188,Manhattan,Chelsea,1
706418,Carolyn,145994,Manhattan,Upper West Side,1
709434,Meighan,146754,Brooklyn,Windsor Terrace,1
709334,Julie,147586,Manhattan,Harlem,2
715807,John,148201,Manhattan,Greenwich Village,1
716064,Mihalis,148259,Brooklyn,Williamsburg,1
718349,B.,148825,Manhattan,Upper West Side,1
720320,Nancy,149287,Manhattan,Upper East Side,1
716306,"Dee, Dre & Mama Shelley",149777,Bronx,Woodlawn,1
726333,Peter,150804,Manhattan,Lower East Side,1
722320,Gladys & Bob,151199,Queens,Astoria,1
216191,M,151478,Brooklyn,Williamsburg,4
731855,Wendy,152071,Brooklyn,Park Slope,1
731904,Ewelina,152078,Manhattan,East Village,1
256161,Wayne,152259,Manhattan,Harlem,5
732535,William,152263,Manhattan,Harlem,3
733894,Lucy,152520,Queens,Sunnyside,3
737585,Pat,153405,Brooklyn,Greenpoint,1
739499,Donna,153780,Manhattan,East Village,1
745069,Kimberly,154934,Manhattan,Harlem,3
656841,Meredith,155296,Brooklyn,Williamsburg,1
757166,Tokunbo,157673,Brooklyn,Bedford-Stuyvesant,1
758441,Fred,158061,Brooklyn,Bedford-Stuyvesant,4
573065,Laura,158176,Brooklyn,Williamsburg,1
759583,Pepe,158290,Brooklyn,Clinton Hill,2
762563,Lennny & Megan,158913,Brooklyn,Greenpoint,1
465589,Amia,158955,Brooklyn,Williamsburg,1
54275,JT And Tiziana,159749,Brooklyn,Bedford-Stuyvesant,3
54275,JT And Tiziana,159815,Brooklyn,Bedford-Stuyvesant,3
759883,Kaye,159913,Manhattan,Chelsea,1
769247,Ligia,160609,Manhattan,Upper West Side,1
770831,James,160994,Manhattan,East Village,1
733894,Lucy,161366,Queens,Sunnyside,3
772300,Alain,161394,Brooklyn,Williamsburg,1
1856604,"Robert ""Bob""",161996,Manhattan,Harlem,1
776490,Andres,162493,Brooklyn,Williamsburg,1
776645,Placid,162508,Brooklyn,Crown Heights,1
242506,Jsun,163627,Brooklyn,Williamsburg,3
781647,Jorin,163809,Manhattan,Harlem,2
627217,Seith,163814,Manhattan,East Village,3
32169,Andrea,163836,Brooklyn,Greenpoint,3
69439,Jade,164989,Manhattan,SoHo,1
787273,Smadar,165080,Brooklyn,Carroll Gardens,1
867225,Rahul,165461,Manhattan,Morningside Heights,2
733894,Lucy,165824,Queens,Sunnyside,3
791287,Giancarlo,166006,Manhattan,Upper West Side,1
792159,Wanda,166172,Brooklyn,Bushwick,1
793620,Yvette,166541,Manhattan,Washington Heights,1
795640,Jilly,166983,Brooklyn,Carroll Gardens,1
306605,Daniel,167013,Manhattan,Chelsea,2
795889,Adam,167017,Brooklyn,Park Slope,1
22486,Lisel,167222,Brooklyn,Park Slope,6
789257,Barbara,167482,Manhattan,Upper West Side,1
800982,Chris,168084,Manhattan,East Village,1
720558,Sara,168123,Brooklyn,South Slope,1
803086,Benton,168546,Manhattan,East Harlem,2
747698,Linda & Chris,168810,Manhattan,Upper West Side,1
805344,Alec,169002,Manhattan,Harlem,2
806112,Julia,169152,Brooklyn,Bedford-Stuyvesant,1
806214,Vanessa,169306,Bronx,University Heights,1
806774,Ali & SweetPea,169464,Brooklyn,Williamsburg,2
807642,Jeffrey,169483,Brooklyn,Gravesend,2
812814,Lena,170420,Manhattan,East Harlem,1
67778,Doug,170761,Brooklyn,Fort Greene,2
803086,Benton,171776,Manhattan,Harlem,2
302772,Cheryl,172700,Manhattan,Lower East Side,2
781647,Jorin,172870,Manhattan,Harlem,2
826192,Lewis,173072,Manhattan,Harlem,1
826459,Jane,173151,Brooklyn,Greenpoint,1
829652,Donna,173742,Manhattan,Gramercy,1
833926,Kris,174527,Brooklyn,Bushwick,1
836168,Henry,174966,Manhattan,Upper West Side,11
842125,Jennifer,176135,Brooklyn,Crown Heights,1
844862,Cj,176653,Manhattan,East Village,2
846309,Dani,176962,Brooklyn,Williamsburg,1
848748,Sarah,177421,Brooklyn,Greenpoint,2
848960,Amit,177495,Manhattan,Chelsea,1
849492,Kathrine,177606,Manhattan,Kips Bay,1
21475,Milan,179670,Manhattan,Lower East Side,1
314941,Tony,179741,Manhattan,Nolita,3
864735,Jason,180507,Queens,Astoria,8
864735,Jason,180792,Queens,Astoria,8
872121,Rosario,181972,Manhattan,Harlem,1
39260,Mat,182069,Manhattan,East Harlem,1
872805,Mike,182095,Manhattan,West Village,2
873273,Christian & Carla,182177,Bronx,Allerton,2
876054,Obed,182649,Brooklyn,Williamsburg,1
889106,Lisa,185266,Brooklyn,Williamsburg,1
871727,Village,187488,Manhattan,West Village,1
279078,Andrew & Markus,187566,Brooklyn,Bedford-Stuyvesant,2
904833,Daniel,187986,Manhattan,Chelsea,1
906200,Mariana,188146,Brooklyn,Williamsburg,1
909146,Mj,188661,Brooklyn,Prospect Heights,1
909234,Leslie,188674,Manhattan,East Village,1
179020,Michael,189135,Manhattan,Hell's Kitchen,1
912541,David,189181,Manhattan,Chelsea,1
489400,O'Dell,189732,Brooklyn,East New York,1
915640,Sundiata,189787,Brooklyn,Crown Heights,1
918866,Marina,190267,Manhattan,Upper East Side,1
920542,Farrah,190542,Brooklyn,Bedford-Stuyvesant,1
922922,Karen,190968,Brooklyn,Prospect Heights,1
874471,Alan,190974,Brooklyn,Park Slope,1
923915,Matthew,191075,Manhattan,East Village,2
936114,Marcela,193105,Manhattan,Hell's Kitchen,2
302936,Melody,193333,Brooklyn,Williamsburg,1
